datetimeLocal,co,no,no2,nox,o3,pm10,pm25,so2,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-02-28 18:00:00-07:00,0.2,0.0,0.0054,0.005,0.056,28.0,4.1,0.0003,2025-03-01 01:00:00+00:00,16.7,-12.8,12.0,0.0,,220.0,9.4,,1015.2,,2.0
2025-02-28 19:00:00-07:00,0.3,0.0,0.02,0.02,0.037,42.0,6.0,0.0001,2025-03-01 02:00:00+00:00,15.0,-10.6,16.0,0.0,,190.0,11.2,,1016.0,,2.0
2025-02-28 20:00:00-07:00,0.3,0.0,0.02,0.019,0.034,51.0,8.0,0.0002,2025-03-01 03:00:00+00:00,10.0,-11.9,20.0,0.0,,90.0,11.2,,1017.1,,1.0
2025-02-28 21:00:00-07:00,0.2,0.0,0.0103,0.01,0.044,40.0,7.4,0.0001,2025-03-01 04:00:00+00:00,10.6,-11.4,20.0,0.0,,90.0,11.2,,1016.7,,1.0
2025-02-28 22:00:00-07:00,0.4,0.0,0.0207,0.021,0.03,38.0,8.3,0.0001,2025-03-01 05:00:00+00:00,10.0,-11.3,21.0,0.0,,310.0,9.4,,1016.8,,1.0
2025-02-28 23:00:00-07:00,0.4,0.0,0.0288,0.029,0.019,43.0,10.6,0.0001,2025-03-01 06:00:00+00:00,10.0,-11.9,20.0,0.0,,350.0,11.2,,1016.4,,1.0
2025-03-01 00:00:00-07:00,0.1,0.0,0.0033,0.004,0.045,44.0,7.7,0.0003,2025-03-01 07:00:00+00:00,8.9,-12.2,21.0,0.0,,50.0,9.4,,1016.5,,1.0
2025-03-01 01:00:00-07:00,0.3,0.0,0.0256,0.026,0.017,51.0,9.0,0.0001,2025-03-01 08:00:00+00:00,7.2,-11.5,25.0,0.0,,0.0,0.0,,1016.7,,1.0
2025-03-01 02:00:00-07:00,0.2,0.0,0.0096,0.009,0.031,22.0,4.3,0.0003,2025-03-01 09:00:00+00:00,6.7,-11.9,25.0,0.0,,30.0,5.4,,1016.7,,1.0
2025-03-01 03:00:00-07:00,0.2,0.0,0.0156,0.016,0.022,29.0,5.9,0.0003,2025-03-01 10:00:00+00:00,4.4,-13.0,27.0,0.0,,20.0,11.2,,1016.7,,1.0
2025-03-01 04:00:00-07:00,0.1,0.0,0.0069,0.007,0.032,19.0,4.2,0.0003,2025-03-01 11:00:00+00:00,3.9,-13.8,26.0,0.0,,10.0,16.6,,1016.5,,1.0
2025-03-01 05:00:00-07:00,0.1,0.0,0.003,0.002,0.036,16.0,3.5,0.0003,2025-03-01 12:00:00+00:00,3.3,-13.9,27.0,0.0,,20.0,14.8,,1016.8,,1.0
2025-03-01 06:00:00-07:00,0.1,0.0,0.0032,0.003,0.036,14.0,3.2,0.0003,2025-03-01 13:00:00+00:00,3.9,-13.4,27.0,0.0,,10.0,20.5,,1016.9,,1.0
2025-03-01 07:00:00-07:00,0.1,0.0,0.0042,0.004,0.034,17.0,3.4,0.0003,2025-03-01 14:00:00+00:00,3.3,-13.9,27.0,0.0,,360.0,18.4,,1017.6,,2.0
2025-03-01 08:00:00-07:00,0.2,0.001,0.0069,0.008,0.031,18.0,3.7,0.0003,2025-03-01 15:00:00+00:00,3.9,-13.8,26.0,0.0,,350.0,7.6,,1019.4,,2.0
2025-03-01 09:00:00-07:00,0.2,0.006,0.0119,0.018,0.028,20.0,4.4,0.0001,2025-03-01 16:00:00+00:00,7.2,-12.5,23.0,0.0,,0.0,0.0,,1018.8,,2.0
2025-03-01 10:00:00-07:00,0.2,0.005,0.0103,0.016,0.033,23.0,4.9,0.0001,2025-03-01 17:00:00+00:00,9.4,-12.4,20.0,0.0,,0.0,0.0,,1018.2,,2.0
2025-03-01 11:00:00-07:00,0.2,0.003,0.007,0.01,0.04,46.0,5.2,0.0003,2025-03-01 18:00:00+00:00,13.3,-12.0,16.0,0.0,,0.0,0.0,,1017.0,,2.0
2025-03-01 12:00:00-07:00,0.2,0.002,0.0068,0.009,0.046,28.0,4.9,0.0003,2025-03-01 19:00:00+00:00,16.1,-9.7,16.0,0.0,,0.0,0.0,,1015.4,,2.0
2025-03-01 13:00:00-07:00,0.1,0.001,0.0044,0.005,0.055,41.0,5.4,0.0001,2025-03-01 20:00:00+00:00,17.8,-9.2,15.0,0.0,,220.0,13.0,,1013.5,,2.0
2025-03-01 14:00:00-07:00,0.1,0.0,0.0036,0.004,0.058,49.0,5.8,0.0001,2025-03-01 21:00:00+00:00,18.3,-8.8,15.0,0.0,,250.0,9.4,,1012.0,,2.0
2025-03-01 15:00:00-07:00,0.1,0.0,0.0027,0.003,0.062,43.0,7.6,0.0002,2025-03-01 22:00:00+00:00,19.4,-7.9,15.0,0.0,,0.0,0.0,,1011.0,,2.0
2025-03-01 16:00:00-07:00,0.1,0.0,0.0023,0.002,0.06,41.0,5.6,0.0001,2025-03-01 23:00:00+00:00,20.6,-12.1,10.0,0.0,,220.0,20.5,,1010.2,,3.0
2025-03-01 17:00:00-07:00,0.1,0.0,0.0033,0.004,0.058,37.0,4.9,0.0001,2025-03-02 00:00:00+00:00,20.6,-14.8,8.0,0.0,,190.0,25.9,,1009.3,,3.0
2025-03-01 18:00:00-07:00,0.1,0.0,0.0046,0.005,0.054,35.0,4.7,0.0003,2025-03-02 01:00:00+00:00,18.9,-14.7,9.0,0.0,,180.0,16.6,,1008.8,,2.0
2025-03-01 19:00:00-07:00,0.2,0.0,0.0077,0.007,0.047,33.0,4.7,0.0003,2025-03-02 02:00:00+00:00,15.0,-13.2,13.0,0.0,,150.0,13.0,,1010.1,,2.0
2025-03-01 20:00:00-07:00,0.2,0.0,0.007,0.007,0.044,32.0,4.9,0.0001,2025-03-02 03:00:00+00:00,11.7,-11.8,18.0,0.0,,140.0,14.8,,1010.9,,2.0
2025-03-01 21:00:00-07:00,0.2,0.0,0.0103,0.01,0.041,27.0,4.9,0.0001,2025-03-02 04:00:00+00:00,12.2,-12.1,17.0,0.0,,130.0,11.2,,1009.9,,2.0
2025-03-01 22:00:00-07:00,0.2,0.0,0.012,0.011,0.039,26.0,4.6,0.0001,2025-03-02 05:00:00+00:00,12.8,-10.9,18.0,0.0,,80.0,16.6,,1008.9,,2.0
2025-03-01 23:00:00-07:00,0.3,0.0,0.0181,0.019,0.028,43.0,7.5,0.0002,2025-03-02 06:00:00+00:00,13.3,-11.2,17.0,0.0,,80.0,22.3,,1007.1,,2.0
2025-03-02 00:00:00-07:00,0.1,0.0,0.0033,0.004,0.045,36.0,5.6,0.0003,2025-03-02 07:00:00+00:00,13.3,-10.5,18.0,0.0,,80.0,20.5,,1006.5,,2.0
2025-03-02 01:00:00-07:00,0.2,0.0,0.0033,0.004,0.036,52.0,5.9,0.0003,2025-03-02 08:00:00+00:00,11.7,-11.8,18.0,0.0,,250.0,18.4,,1007.8,,4.0
2025-03-02 02:00:00-07:00,0.1,0.0,0.0033,0.004,0.036,50.0,6.8,0.0001,2025-03-02 09:00:00+00:00,11.7,-8.7,23.0,0.0,,50.0,16.6,,1004.9,,4.0
2025-03-02 03:00:00-07:00,0.1,0.0,0.0033,0.004,0.043,28.0,4.7,0.0001,2025-03-02 10:00:00+00:00,12.8,-6.2,26.0,0.0,,0.0,0.0,,1004.0,,4.0
2025-03-02 04:00:00-07:00,0.1,0.0,0.0033,0.004,0.042,36.0,4.6,0.0001,2025-03-02 11:00:00+00:00,10.6,-9.1,24.0,0.0,,240.0,18.4,,1005.1,,4.0
2025-03-02 05:00:00-07:00,0.1,0.0,0.0033,0.004,0.041,55.0,5.7,0.0001,2025-03-02 12:00:00+00:00,9.4,0.0,52.0,0.0,,290.0,33.5,,1006.5,,4.0
2025-03-02 06:00:00-07:00,0.0,0.0,0.0018,0.002,0.045,44.0,5.9,0.0003,2025-03-02 13:00:00+00:00,8.9,0.1,54.0,0.0,,280.0,18.4,,1008.1,,3.0
2025-03-02 07:00:00-07:00,0.0,0.0,0.0014,0.001,0.045,56.0,7.0,0.0003,2025-03-02 14:00:00+00:00,8.3,1.0,60.0,0.0,,320.0,25.9,,1009.8,,3.0
2025-03-02 08:00:00-07:00,0.0,0.0,0.0015,0.001,0.045,62.0,8.6,0.0003,2025-03-02 15:00:00+00:00,7.8,0.5,60.0,0.0,,20.0,20.5,,1011.0,,2.0
2025-03-02 09:00:00-07:00,0.1,0.0,0.0023,0.002,0.047,73.0,8.4,0.0003,2025-03-02 16:00:00+00:00,10.0,0.1,50.0,0.0,,340.0,18.4,,1011.1,,2.0
2025-03-02 10:00:00-07:00,0.1,0.0,0.0016,0.002,0.049,67.0,7.9,0.0003,2025-03-02 17:00:00+00:00,11.7,-0.5,43.0,0.0,,310.0,20.5,,1011.0,,2.0
2025-03-02 11:00:00-07:00,0.1,0.0,0.0015,0.001,0.049,52.0,6.6,0.0003,2025-03-02 18:00:00+00:00,13.9,-0.6,37.0,0.0,,320.0,13.0,,1009.9,,2.0
2025-03-02 12:00:00-07:00,0.0,0.0,0.0015,0.001,0.052,40.0,5.9,0.0003,2025-03-02 19:00:00+00:00,15.0,-1.1,33.0,0.0,,310.0,16.6,,1009.5,,2.0
